iter	RMSE
0	3640.768068
1	3337.95857
2	3062.876474
3	2810.262067
4	2590.877832
5	2388.553573
6	2205.734269
7	2046.020794
8	1913.870778
9	1786.646355
10	1676.870839
11	1574.700696
12	1484.039117
13	1405.011383
14	1331.82387
15	1270.098405
16	1210.351162
17	1159.945295
18	1114.745931
19	1075.191114
20	1031.690635
21	997.58118
22	966.8278124
23	938.4444904
24	913.9235508
25	889.1387047
26	869.4021348
27	850.8736942
28	835.6772313
29	821.9675609
30	806.8930597
31	794.9623574
32	783.6449742
33	772.6770153
34	760.0454177
35	749.4187386
36	740.7375363
37	734.2571053
38	726.3327928
39	717.3942408
40	711.2547184
41	704.9993016
42	699.2125514
43	693.9279842
44	689.6320898
45	685.0906502
46	678.796062
47	674.9723983
48	669.6877335
49	664.6458024
50	660.8442648
51	657.8420816
52	654.2500421
53	651.2241379
54	648.0226887
55	645.9493347
56	642.5719297
57	639.6202679
58	636.5213266
59	633.4421993
60	630.3891397
61	627.7772568
62	625.8599357
63	623.4081475
64	621.9085148
65	619.499956
66	618.1477352
67	616.4777369
68	613.5770033
69	611.8516909
70	610.7210952
71	609.3514578
72	607.4815892
73	606.1509876
74	603.8776959
75	602.8993931
76	601.7995908
77	600.9650662
78	599.5599602
79	598.7150666
80	596.9143785
81	595.8592801
82	595.2564065
83	593.9786728
84	591.3951463
85	589.1565142
86	588.0777758
87	586.6044657
88	584.8194282
89	582.9328675
90	582.2029487
91	581.3510017
92	580.347775
93	578.9392442
94	578.1937383
95	577.2334972
96	574.4378292
97	573.1278818
98	571.6800101
99	570.6041737
100	569.891267
101	568.95997
102	567.7676748
103	567.0518716
104	566.6558397
105	565.1210097
106	564.37835
107	563.1012678
108	561.3960205
109	560.3964602
110	559.8028629
111	559.3385552
112	558.6771544
113	558.0881646
114	557.3298474
115	556.4507065
116	555.9592131
117	555.431692
118	555.2178786
119	554.304967
120	553.5297796
121	553.3562341
122	552.6371175
123	552.0163131
124	551.7961964
125	551.2809844
126	550.775627
127	550.3073025
128	549.473815
129	548.8133894
130	548.6204212
131	547.8577907
132	547.5047229
133	546.9150543
134	546.1561017
135	545.4517828
136	544.4360721
137	544.1807925
138	543.8222279
139	543.5839109
140	543.0915848
141	542.5175174
142	541.9175809
143	541.4810077
144	541.0956802
145	540.4799011
146	539.4196617
147	539.1497267
148	538.6805493
149	538.4863259
150	538.1765898
151	537.7385693
152	537.2430119
153	536.9075241
154	536.5508101
155	536.2305458
156	535.5566543
157	535.3378494
158	534.5955517
159	534.0490531
160	533.5129201
161	533.4811086
162	533.0498184
163	532.3280186
164	531.7607817
165	531.6174994
166	531.0024798
167	530.6042395
168	530.5466893
169	529.6531362
170	529.4499211
171	529.1135423
172	528.3443479
173	528.0458689
174	527.9910874
175	527.5762911
176	527.5208878
177	527.4546513
178	527.2136124
179	526.8321347
180	526.8264164
181	526.792132
182	526.3915793
183	526.0448677
184	525.3941105
185	524.8893611
186	524.42119
187	524.173763
188	523.7793497
189	523.3889508
190	522.7577675
191	522.2178893
192	521.7714545
193	521.3956926
194	521.0438636
195	520.6595014
196	520.2092384
197	519.6402619
198	518.9380324
199	518.5685523
200	517.9321209
201	517.6418921
202	517.3060997
203	516.783191
204	516.5167126
205	516.195882
206	515.8839682
207	515.6351978
208	515.0906464
209	514.7980305
210	514.7114247
211	514.4223842
212	514.0455555
213	513.7286973
214	513.330489
215	512.8561818
216	512.3473691
217	512.2541988
218	511.3061096
219	510.9268347
220	510.6554763
221	510.5066433
222	510.2542006
223	509.6494441
224	509.1181509
225	508.8735162
226	508.4912125
227	508.0692441
228	507.6165418
229	507.3454752
230	506.8339553
231	506.3949114
232	506.3851891
233	506.0147485
234	505.696429
235	505.6764751
236	505.3465521
237	505.0875107
238	504.907217
239	504.4942424
240	504.047782
241	503.7856819
242	503.5509024
243	503.5161713
244	503.1035718
245	502.8163056
246	502.503578
247	502.2500049
248	501.9983575
249	501.7436803
250	501.293997
251	501.0872849
252	500.6425041
253	500.4588696
254	499.957491
255	499.5179976
256	499.1588412
257	498.944112
258	498.858576
259	498.8551823
260	498.4451394
261	498.0838689
262	498.0795939
263	498.0769811
264	497.7215817
265	497.3709019
266	497.3681174
267	497.1437781
268	496.9459054
269	496.5031014
270	496.3465524
271	496.1055124
272	495.8634208
273	495.4860439
274	495.1009049
275	494.7534472
276	494.3426882
277	494.1197152
278	494.0429157
279	493.8410307
280	493.5451745
281	493.1385885
282	492.9276111
283	492.5690413
284	492.3719916
285	492.1744229
286	491.8566379
287	491.6105347
288	491.4910506
289	491.2546113
290	490.80586
291	490.3901654
292	490.0574476
293	489.8478843
294	489.3863731
295	489.3828846
296	489.3633286
297	489.1009235
298	488.4892629
299	487.9249901
