iter	Passed	Remaining
0	142	141950
1	146	72925
2	149	49788
3	154	38422
4	158	31536
5	163	27023
6	167	23732
7	173	21490
8	177	19521
9	181	17974
10	185	16711
11	189	15630
12	194	14736
13	198	14004
14	203	13393
15	207	12790
16	212	12261
17	216	11806
18	220	11374
19	224	11016
20	230	10729
21	234	10416
22	238	10132
23	243	9887
24	247	9639
25	251	9407
26	256	9242
27	261	9065
28	265	8875
29	270	8734
30	274	8584
31	278	8433
32	283	8294
33	288	8200
34	292	8073
35	296	7949
36	301	7853
37	305	7742
38	309	7638
39	315	7566
40	320	7504
41	325	7422
42	331	7368
43	335	7282
44	339	7204
45	344	7135
46	348	7065
47	352	6986
48	357	6929
49	361	6866
50	365	6793
51	369	6728
52	374	6683
53	378	6626
54	382	6564
55	386	6520
56	391	6468
57	395	6417
58	399	6375
59	404	6339
60	409	6299
61	413	6261
62	419	6233
63	423	6193
64	427	6154
65	432	6124
66	437	6086
67	442	6063
68	447	6035
69	451	5994
70	455	5955
71	459	5924
72	464	5894
73	468	5859
74	473	5835
75	478	5812
76	482	5777
77	486	5749
78	491	5726
79	495	5693
80	499	5663
81	504	5647
82	509	5627
83	513	5597
84	518	5576
85	522	5554
86	526	5528
87	530	5498
88	535	5486
89	540	5462
90	545	5446
91	550	5430
92	554	5404
93	558	5383
94	564	5373
95	568	5349
96	573	5335
97	578	5322
98	582	5298
99	587	5286
100	595	5296
101	602	5305
102	609	5309
103	617	5323
104	624	5321
105	631	5326
106	639	5334
107	646	5341
108	653	5337
109	661	5355
110	668	5357
111	677	5367
112	683	5365
113	691	5375
114	698	5374
115	705	5373
116	711	5368
117	718	5370
118	724	5362
119	729	5351
120	734	5337
121	738	5317
122	744	5306
123	750	5301
124	756	5293
125	762	5291
126	768	5281
127	775	5284
128	782	5286
129	788	5279
130	794	5271
131	800	5261
132	806	5257
133	812	5247
134	818	5241
135	822	5228
136	828	5217
137	833	5207
138	838	5195
139	843	5183
140	849	5174
141	854	5161
142	859	5152
143	864	5139
144	870	5135
145	876	5125
146	880	5110
147	886	5102
148	890	5088
149	895	5076
150	902	5071
151	907	5060
152	911	5048
153	917	5038
154	921	5025
155	927	5017
156	931	5003
157	936	4990
158	941	4979
159	946	4967
160	950	4954
161	957	4950
162	961	4939
163	966	4928
164	972	4918
165	976	4908
166	980	4891
167	985	4880
168	990	4871
169	994	4856
170	998	4842
171	1003	4831
172	1007	4817
173	1011	4801
174	1016	4794
175	1022	4785
176	1026	4772
177	1031	4762
178	1035	4750
179	1040	4738
180	1044	4725
181	1049	4717
182	1054	4706
183	1060	4701
184	1065	4694
185	1070	4686
186	1075	4677
187	1081	4670
188	1086	4661
189	1092	4656
190	1097	4647
191	1103	4642
192	1110	4641
193	1117	4644
194	1125	4644
195	1131	4643
196	1139	4643
197	1147	4647
198	1154	4646
199	1161	4646
200	1169	4649
201	1176	4647
202	1183	4646
203	1190	4644
204	1197	4644
205	1204	4644
206	1211	4641
207	1219	4645
208	1226	4642
209	1234	4645
210	1241	4641
211	1251	4653
212	1261	4659
213	1268	4657
214	1276	4659
215	1283	4658
216	1290	4657
217	1297	4653
218	1305	4654
219	1312	4654
220	1319	4651
221	1326	4647
222	1331	4637
223	1337	4632
224	1341	4621
225	1347	4614
226	1352	4605
227	1357	4597
228	1365	4599
229	1373	4597
230	1380	4594
231	1385	4586
232	1390	4576
233	1396	4571
234	1400	4560
235	1407	4554
236	1413	4552
237	1421	4550
238	1427	4546
239	1434	4544
240	1441	4538
241	1446	4531
242	1452	4526
243	1457	4515
244	1462	4506
245	1467	4498
246	1473	4492
247	1482	4494
248	1488	4489
249	1495	4485
250	1500	4476
251	1504	4466
252	1510	4460
253	1515	4450
254	1520	4440
255	1525	4433
256	1529	4423
257	1534	4413
258	1539	4404
259	1543	4393
260	1548	4384
261	1553	4375
262	1558	4366
263	1562	4356
264	1568	4349
265	1573	4341
266	1579	4335
267	1585	4329
268	1589	4320
269	1595	4314
270	1600	4305
271	1606	4299
272	1611	4290
273	1615	4280
274	1620	4272
275	1626	4266
276	1631	4257
277	1635	4248
278	1640	4240
279	1645	4230
280	1650	4221
281	1654	4213
282	1659	4204
283	1663	4194
284	1668	4185
285	1673	4177
286	1679	4172
287	1687	4171
288	1693	4167
289	1699	4160
290	1703	4151
291	1709	4145
292	1715	4139
293	1719	4130
294	1724	4122
295	1729	4113
296	1734	4105
297	1740	4099
298	1746	4093
299	1752	4088
300	1757	4082
301	1763	4075
302	1768	4068
303	1774	4061
304	1778	4052
305	1784	4047
306	1788	4038
307	1793	4028
308	1797	4019
309	1801	4009
310	1806	4001
311	1810	3992
312	1814	3983
313	1818	3973
314	1823	3964
315	1827	3955
316	1831	3946
317	1836	3937
318	1840	3929
319	1844	3919
320	1848	3909
321	1852	3900
322	1857	3892
323	1861	3884
324	1865	3874
325	1869	3865
326	1873	3855
327	1877	3846
328	1881	3837
329	1885	3828
330	1889	3819
331	1893	3810
332	1897	3801
333	1902	3792
334	1906	3783
335	1910	3774
336	1914	3766
337	1918	3757
338	1922	3748
339	1926	3739
340	1930	3730
341	1934	3721
342	1938	3712
343	1943	3705
344	1947	3697
345	1951	3688
346	1956	3681
347	1960	3673
348	1964	3664
349	1969	3656
350	1974	3650
351	1977	3641
352	1981	3632
353	1986	3625
354	1991	3617
355	1994	3608
356	1999	3600
357	2003	3592
358	2007	3583
359	2011	3575
360	2015	3567
361	2019	3559
362	2023	3551
363	2027	3542
364	2031	3534
365	2035	3526
366	2039	3518
367	2043	3510
368	2048	3503
369	2052	3495
370	2056	3487
371	2060	3478
372	2065	3471
373	2069	3463
374	2073	3455
375	2078	3448
376	2082	3440
377	2086	3432
378	2090	3425
379	2095	3418
380	2099	3410
381	2103	3403
382	2107	3395
383	2112	3388
384	2115	3380
385	2120	3372
386	2124	3365
387	2128	3357
388	2133	3350
389	2137	3343
390	2141	3335
391	2145	3328
392	2151	3322
393	2155	3315
394	2159	3307
395	2163	3300
396	2168	3293
397	2172	3285
398	2176	3278
399	2181	3271
400	2185	3265
401	2190	3257
402	2194	3251
403	2199	3244
404	2203	3236
405	2207	3229
406	2211	3222
407	2216	3216
408	2220	3208
409	2226	3203
410	2231	3198
411	2236	3192
412	2242	3186
413	2248	3182
414	2255	3179
415	2261	3174
416	2266	3168
417	2273	3165
418	2279	3161
419	2285	3156
420	2292	3152
421	2298	3148
422	2305	3144
423	2312	3141
424	2318	3136
425	2324	3132
426	2332	3129
427	2339	3126
428	2345	3122
429	2352	3118
430	2359	3114
431	2366	3112
432	2375	3110
433	2384	3109
434	2390	3105
435	2397	3100
436	2402	3095
437	2407	3089
438	2412	3082
439	2417	3076
440	2422	3070
441	2427	3065
442	2432	3057
443	2437	3052
444	2441	3045
445	2445	3038
446	2450	3031
447	2454	3024
448	2459	3017
449	2463	3010
450	2468	3004
451	2473	2998
452	2477	2991
453	2482	2985
454	2486	2978
455	2490	2971
456	2495	2964
457	2499	2957
458	2503	2950
459	2507	2943
460	2511	2936
461	2516	2930
462	2520	2923
463	2525	2917
464	2530	2911
465	2534	2904
466	2539	2897
467	2544	2891
468	2548	2885
469	2553	2879
470	2559	2874
471	2563	2868
472	2568	2862
473	2573	2855
474	2578	2849
475	2582	2843
476	2588	2837
477	2592	2830
478	2597	2825
479	2602	2819
480	2606	2812
481	2613	2809
482	2619	2803
483	2622	2796
484	2627	2790
485	2632	2784
486	2636	2777
487	2641	2771
488	2645	2764
489	2649	2757
490	2654	2751
491	2658	2744
492	2662	2737
493	2666	2731
494	2671	2725
495	2675	2718
496	2679	2711
497	2685	2707
498	2690	2701
499	2693	2693
500	2698	2688
501	2703	2682
502	2707	2675
503	2712	2669
504	2717	2663
505	2721	2656
506	2725	2650
507	2730	2644
508	2734	2638
509	2738	2631
510	2744	2625
511	2748	2619
512	2752	2612
513	2757	2607
514	2761	2600
515	2765	2594
516	2771	2589
517	2775	2582
518	2779	2576
519	2784	2570
520	2788	2563
521	2793	2557
522	2798	2552
523	2802	2545
524	2807	2540
525	2812	2534
526	2817	2528
527	2823	2523
528	2828	2518
529	2833	2512
530	2838	2507
531	2844	2502
532	2849	2496
533	2855	2491
534	2861	2486
535	2866	2481
536	2873	2477
537	2879	2472
538	2886	2468
539	2892	2464
540	2899	2459
541	2904	2454
542	2911	2450
543	2916	2444
544	2922	2439
545	2927	2433
546	2933	2429
547	2938	2424
548	2943	2418
549	2949	2413
550	2954	2407
551	2960	2403
552	2965	2397
553	2970	2391
554	2975	2385
555	2979	2379
